Store Location,Sales Quarter,TV,Radio,Social Media,Influencer,Total Sales
Nashville,1,"16,000","12,000","30,000",Mega,"22,450"
Nashville,1,"13,000","8,000","30,000",Mega,"19,350"
Nashville,1,"14,000","11,000","30,000",Mega,"20,908"
Nashville,1,"9,000","6,000","30,000",Mega,"17,000"
Nashville,1,"12,500","7,500","20,000",Micro,"11,410"
Nashville,1,"17,000","13,000","30,000",Mega,"18,000"
Nashville,2,"19,000","14,000","20,000",Micro,"13,245"
Nashville,2,"17,000","13,000","10,000",Nano,"11,410"
Nashville,2,"16,000","14,000","5,000",Macro,"9,250"
Nashville,2,"11,000","9,000","30,000",Mega,"14,000"
Nashville,2,"8,000","4,000","10,000",Nano,"6,540"
Nashville,2,"10,000","6,000","30,000",Mega,"16,059"
Nashville,3,"13,000","8,000","20,000",Micro,"13,490"
Nashville,3,"13,000","8,000","30,000",Mega,"16,890"
Nashville,3,"10,000","6,000","10,000",Nano,"4,980"
Nashville,3,"10,000","6,000","10,000",Nano,"5,230"
Nashville,3,"7,000","4,000","30,000",Mega,"15,480"
Nashville,3,"7,000","4,000","20,000",Micro,"15,240"
Nashville,4,"10,000","6,000","5,000",Macro,"7,800"
Nashville,4,"10,000","6,000","10,000",Nano,"6,250"
Nashville,4,"14,000","11,000","5,000",Macro,"14,590"
Nashville,4,"14,000","11,000","5,000",Macro,"15,230"
Nashville,4,"14,000","11,000","20,000",Micro,"12,480"
Nashville,4,"8,000","4,000","10,000",Nano,"2,340"
Louisville,1,"12,500","7,500","20,000",Micro,"11,410"
Louisville,1,"17,000","13,000","10,000",Nano,"11,410"
Louisville,1,"10,000","6,000","10,000",Nano,"5,230"
Louisville,1,"19,000","14,000","20,000",Micro,"13,245"
Louisville,1,"14,000","11,000","30,000",Mega,"20,908"
Louisville,1,"8,000","4,000","10,000",Nano,"6,540"
Louisville,2,"17,000","13,000","30,000",Mega,"18,000"
Louisville,2,"19,000","14,000","20,000",Micro,"13,245"
Louisville,2,"10,000","6,000","10,000",Nano,"4,980"
Louisville,2,"13,000","8,000","20,000",Micro,"13,490"
Louisville,2,"13,000","8,000","30,000",Mega,"16,890"
Louisville,2,"7,000","4,000","30,000",Mega,"15,480"
Louisville,3,"8,000","4,000","10,000",Nano,"6,540"
Louisville,3,"14,000","11,000","30,000",Mega,"20,908"
Louisville,3,"14,000","11,000","5,000",Macro,"14,590"
Louisville,3,"14,000","11,000","5,000",Macro,"15,230"
Louisville,3,"10,000","6,000","5,000",Macro,"17,800"
Louisville,3,"14,000","11,000","5,000",Macro,"15,230"
Louisville,4,"13,000","8,000","20,000",Micro,"13,490"
Louisville,4,"16,000","12,000","30,000",Mega,"22,450"
Louisville,4,"10,000","6,000","5,000",Macro,"7,800"
Louisville,4,"14,000","11,000","5,000",Macro,"14,590"
Louisville,4,"7,000","4,000","30,000",Mega,"15,480"
Louisville,4,"7,000","4,000","20,000",Micro,"15,240"
